Countries,Shots,Shots.OT,Goals,Possession,Fouls,Yellow,Red,Offside,Corners,Result
Russia,14,7,5,38,22,1,0,3,6,W
Uruguay,8,3,0,59,6,0,0,1,5,W
Egypt,8,3,1,41,12,2,0,1,0,L
SaudiArabia,6,0,0,62,10,1,0,1,2,L
Iran,9,2,1,32,14,3,0,0,2,W
Portugal,9,3,3,33,12,1,0,1,4,D
Spain,13,6,3,67,10,1,0,3,5,D
Moroco,13,3,0,68,22,1,0,0,5,L
France,12,5,2,55,16,1,0,0,5,W
Denmark,10,3,1,46,18,2,0,3,7,W
Australia,6,1,1,45,19,3,0,0,1,L
Peru,17,6,0,54,10,1,0,5,3,L
Croatia,11,2,2,55,20,2,0,2,6,W
Argentina,27,7,1,78,10,0,0,0,10,D
Iceland,8,2,1,22,15,0,0,0,2,D
Nigeria,14,2,0,45,16,1,0,1,5,L
Serbia,10,3,1,47,15,2,0,3,4,W
Switzerland,6,2,1,45,19,3,0,0,2,D
Brazil,21,5,1,55,11,1,0,1,7,D
CostaRica,10,3,0,53,18,2,0,1,5,L
Mexico,13,4,1,33,16,2,0,1,1,W
Sweden,15,4,1,56,20,1,0,1,6,W
SouthKorea,5,0,0,44,23,2,0,0,5,L
Germany,26,9,0,67,10,2,0,1,8,L
Belgium,15,6,3,62,17,3,0,1,9,W
England,18,8,2,61,8,1,0,3,7,W
Tunisia,6,1,1,39,14,0,0,2,2,L
Panama,7,2,0,38,18,5,0,2,3,L
Poland,11,4,1,61,8,1,0,3,3,L
Senegal,8,2,2,39,15,2,0,2,3,L
Colombia,8,3,1,38,15,2,1,2,3,L
Japan,14,6,2,62,9,1,0,1,6,W